column,title,description,date,subject,subject - lcsh,subject - local,location,collecting area,manufacturer,latitude,longitude,archival source,original format,type,format,identifier,rights,provenance,publisher,credit line,digital collection,location id,file size,height,width,color space,checksum,pdflink,compound,cpdmaster,cdmid,objectid
530,"Gathering at a beach house in the Malibu Colony, 1932","Men and women enjoying the day at a beach house near the western end of Malibu Colony. The Malibu Colony was one of the first areas developed in Malibu, as movie stars began purchasing beach lots in 1927. On reverse: Malibu Beach Early [in pencil]. Malibu Colony Oct. 1932 [in pen]. Ref Dept Oct 1932 N.E.A. [stamped].",1932-10,Beaches; Houses;,Malibu (Calif.);,"Malibu Colony, Malibu;","Malibu (Calif.);Malibu Colony, Malibu;",Malibu Historical Collection;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Ephemera 0129: http://www.oac.cdlib.org/findaid/ark:/13030/c8w95gpb","Black and white photographic print, 7.5 x 10 inches;",Image,image/jp2,match00378.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",photograph,48648128 Bytes,4800,6058,RGB,3831363890,,,,530,wienberg530
531,"Cars stuck in mud deposit after fierce Topanga storm, 1941","Heavy rains caused mudslides and mud deposits along the Roosevelt Highway (now Pacific Coast Highway) in Topanga in late February 1941. On reverse: LA 19799 (Los Angeles Bureau). Unusual Weather For Southern California. Los Angeles, Cal., Rain that reached nearly cloudburst intensity in Los Angeles during the night continued today after blocking highways and streets with slides and floodwater. Photo shows passenger cars on Roosevelt Highway that got caught in the landslide that covered the road. NY CHI CLEV COAST TFB. ""Your credit line must read (ACME)"" [on label]. Looking east towards Ted's Rancho. Topanga Beach, Cal 2-20-41 [in pen].",1941-02-20,Mud; Landslides; Roads; Automobiles;,Topanga (Calif.);,,Topanga (Calif.);,Malibu Historical Collection;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Ephemera 0129: http://www.oac.cdlib.org/findaid/ark:/13030/c8w95gpb","Black and white photographic print, 7 x 9  inches;",Image,image/jp2,match00379.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",photograph,38765252 Bytes,4249,5377,RGB,674351322,,531;532;533;534,534,531,wienberg531
535,Malibu Beach On Roosevelt Highway Showing Moving Picture Stars Homes,View from a bluff of the Malibu Movie Colony in about 1930.,1932,Postcards; Coastlines; Beaches; Houses;,Malibu (Calif.);,"Malibu Colony, Malibu;","Malibu (Calif.);Malibu Colony, Malibu;",,"M. Kashower Co. (Los Angeles, California);",,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00382.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5269670 Bytes,1066,1645,RGB,1507104423,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/537/page/0/inline/,535;536;537,537,535,wienberg535
538,Roosevelt Highway at Malibu Movie Colony,"The Malibu Beach Cafe, known as the Malibu Inn, in its original location behind the Malibu Movie Colony. The building also housed the Art Jones real estate office.",1946,Postcards; Restaurants; Real estate business; Automobiles;,Malibu (Calif.);,"Malibu Colony, Malibu;","Malibu (Calif.);Malibu Colony, Malibu;",,E. C. Kropp Company;,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00384.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,4967957 Bytes,1021,1619,RGB,3439149505,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/540/page/0/inline/,538;539;540,540,538,wienberg538
541,"Highway 101 at Malibu Beach Colony, Calif","The Malibu Beach Cafe, known as the Malibu Inn, in its original location behind the Malibu Movie Colony. The building also housed the Art Jones real estate office.",1946,Postcards; Restaurants; Real estate business; Automobiles;,Malibu (Calif.);,"Malibu Colony, Malibu;","Malibu (Calif.);Malibu Colony, Malibu;",,E. C. Kropp Company;,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00386.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5040812 Bytes,1036,1619,RGB,797528318,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/543/page/0/inline/,541;542;543,543,541,wienberg541
544,"Malibu Beach, Calif. Motion Picture Colony",Aerial photograph of the Malibu Movie Colony and the Malibu Pier beyond as it appeared prior to World War II.,1931,Postcards; Coastlines; Beaches; Houses;,Malibu (Calif.);,"Malibu Colony, Malibu; Malibu Pier, Malibu;","Malibu (Calif.);Malibu Colony, Malibu; Malibu Pier, Malibu;",,,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00388.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5038412 Bytes,1026,1634,RGB,182663091,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/546/page/0/inline/,544;545;546,546,544,wienberg544
547,Highway 101 at the Malibu Beach Colony,View from bluff of Roosevelt Highway (Highway 101) passing through central Malibu and by the Malibu Movie Colony.,1939,Postcards; Coastlines; Beaches; Roads;,Malibu (Calif.);,"Malibu Colony, Malibu;","Malibu (Calif.);Malibu Colony, Malibu;",,E. C. Kropp Company;,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00390.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5016527 Bytes,1031,1619,RGB,55776039,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/549/page/0/inline/,547;548;549,549,547,wienberg547
550,Malibu Beach Home Malibu Movie Colony [Adamson House],"Although identified as the Colony, this is actually the Adamson House, former beach house for the Adamson-Rindge family, now State Historical Landmark. On reverse: Hello Mel-Having lots of fun and still going strong. Hello Caffie- I'm having the time of my life. Our trip to Catalina Island was one of the outstanding points of interest. Love Gracie [in pencil]. Postmark: Sep 23, 1938.",1937,Postcards; Houses; Beaches; correspondence,Malibu (Calif.);,"Adamson House, Malibu;","Malibu (Calif.);Adamson House, Malibu;",,,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00392.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5040812 Bytes,1036,1619,RGB,3236483632,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/552/page/0/inline/,550;551;552,552,550,wienberg550
553,Malibu Coast Roosevelt Highway Cal.,"This photo postcard shows the newly completed Roosevelt Highway near the present-day entrance to Latigo Shore Drive. The rock outcrop in the image was later demolished to widen the highway. (Research source: Doyle and Rindge, 2012). On reverse: Dear Anna, Come out and we will take a ride on the highway from Frisco to San Diego.  It looks deserted but it is a very busy road (taken before finished). We took a long strip of it Sunday, everybody in bathing. Best wishes to all [in pen]. Postmark: June 4, 1930.",1929,Postcards; Roads; Coastlines; Rock formations; correspondence,Malibu (Calif.);,"Latigo Canyon, Malibu;","Malibu (Calif.);Latigo Canyon, Malibu;",,,,,,"Postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00394.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,4967957 Bytes,1021,1619,RGB,564245327,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/555/page/0/inline/,553;554;555,555,553,wienberg553
556,"Greetings From Malibu Beach, Cal.","This postcard, probably from the early 1960s, shows women posing with surfboards at Surfrider Beach in central Malibu, California. On reverse: This colorful world famous ocean front community offers some of the west coast's finest surfing conditions [printed]. Message hand written in French",1960,Postcards; Beaches; Surfing; Bathing suits; Bikinis (Bathing suits); correspondence,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,"Mitock & Sons (Sherman Oaks, California);",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00396.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5149592 Bytes,1036,1654,RGB,731043160,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/558/page/0/inline/,556;557;558,558,556,wienberg556
559,"Greetings from Malibu Beach, Calif.","This postcard, probably from the early 1960s, shows surfers and beach-goers gathered at Surfrider Beach in central Malibu, California. On reverse: This colorful world famous ocean front community offers some of the west coast's finest surfing conditions. Color by Carlo Marino [printed].",1960,Postcards; Beaches; Surfing; Bathing suits; Bikinis (Bathing suits); Piers & wharves; Coastlines,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,"Mitock & Sons (Sherman Oaks, California);",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00398.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5106080 Bytes,1036,1640,RGB,3357858168,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/561/page/0/inline/,559;560;561,561,559,wienberg559
562,Surfboarding At Malibu,"On reverse: The rugged coast line in the distance framing the Malibu Pier. An equally rugged surfboarder enjoys his favorite sport, as a comber from the blue Pacific carries him to shore [printed].",1954,Postcards; Piers & wharves; Surfing;,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,Columbia Wholesale Supply,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00400.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5155280 Bytes,1046,1640,RGB,105362657,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/564/page/0/inline/,562;563;564,564,562,wienberg562
565,Waikiki In Southern California,"Surfrider Beach. On reverse: The long lazy breakers, rolling in from the blue Pacific, have been acclaimed by experts as the equal of any in Hawaii. Most any day surfboard enthusiasts may be seen enjoying their favorite sport, under ideal conditions of sun and sea [printed].",1954,Postcards; Surfing;,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,Columbia Wholesale Supply,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00402.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5136452 Bytes,1046,1634,RGB,3523938499,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/567/page/0/inline/,565;566;567,567,565,wienberg565
568,"Greetings from Malibu Beach, Calif.",On Reverse: One of the world's famous beach resort areas. The home of many members of the Hollywood Movie Colony. Color by Carlo Marino [printed].,1960,Postcards; Piers & wharves; Bikinis (Bathing suits);,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,"Mitock & Sons (Sherman Oaks, California);",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00404.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5199212 Bytes,1046,1654,RGB,1207025697,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/570/page/0/inline/,568;569;570,570,568,wienberg568
571,Always Good Fishing,"The Gee Bee day boat. On reverse: Deep sea fishing boat, returning to Malibu Pier Landing, from a successful day of fishing.",1954,Postcards; Piers & wharves; Fishing; Fishing boats;,Malibu (Calif.);,"Malibu Pier, Malibu; Carbon Beach, Malibu;","Malibu (Calif.);Malibu Pier, Malibu; Carbon Beach, Malibu;",,Columbia Wholesale Supply,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00406.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5186660 Bytes,1046,1650,RGB,3740441934,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/573/page/0/inline/,571;572;573,573,571,wienberg571
574,Pier Fishing,People fish off the Malibu Pier as the Ko-Bi-Do day boats leaves for deeper waters.,1954,Postcards; Piers & wharves; Fishing; Fishing boats;,Malibu (Calif.);,"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,Columbia Wholesale Supply,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00408.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5170970 Bytes,1046,1645,RGB,3491218805,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/576/page/0/inline/,574;575;576,576,574,wienberg574
577,"Malibu, California","The Malibu Inn in its new location across from the Malibu Pier in 1952. On reverse: [printed] Looking south along the Malibu towards Santa Monica- on U.S. Highway 101-A near entrance to the The Malibu Pier. The Cafe on this side of the highway is famous for its many autographed photos of movie people. From Color Photo by Geo E. Watson. [in pen] Dear Mother, Went for a drive with G and ViVi and J.A.H, P., Rosemary and..... Li was not too well so A stayed home with him... Love Peter. Postmark: December 15, 1958.",,Postcards; Restaurants; Piers & wharves; Roads; correspondence,Malibu (Calif.);,"Malibu Pier, Malibu; Carbon Beach, Malibu;","Malibu (Calif.);Malibu Pier, Malibu; Carbon Beach, Malibu;",,"Mitock & Sons (Sherman Oaks, California);",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00410.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,4879400 Bytes,996,1630,RGB,3889772595,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/579/page/0/inline/,577;578;579,579,577,wienberg577
580,Casa Malibu Motel,"The Casa Malibu Motel opened in July 1948 and operated under varying ownership until 2013. On reverse: [printed] On beautiful Malibu Beach- close to the fishing pier, surfing, shopping, and fine restaurants. Accommodations to meet your needs whether it be an individual room or a three bedroom apartment. Phone 456-2219 Area code 213.",1977,Postcards; Hotels; Motels; Beaches;,Malibu (Calif.);,"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Plastichrome by Colourpicture,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00412.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5080319 Bytes,1627,1039,RGB,1414924860,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/582/page/0/inline/,580;581;582,582,580,wienberg580
583,Casa Malibu Hotel and Apts. Malibu Cal.,"The Casa Malibu Motel opened in July 1948 and operated under varying ownership until 2013. On front: ""The Best Address at Malibu"". On reverse: [printed] On the Ocean- Private Beach - Luxuriously Furnished - Near Pier and Movie Colony - Beautiful Patio - Garages - A place to swim, rest and relax all year.",1950,Postcards; Hotels; Motels; Beaches;,Malibu (Calif.);,"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Colourpicture,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00414.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5036390 Bytes,1627,1030,RGB,818998396,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/585/page/0/inline/,583;584;585,585,583,wienberg583
586,Greetings from Malibu,Aerial photograph of the Pacific Coast Highway and Rambla Vista in eastern Malibu. On reverse: [printed]This aerial view shows the Pacific Coast Hwy.- and the picturesque houses on the hillsides and cliffs solidly along the beautiful shoreline of thee blue pacific.,1965,Postcards; Coastlines; Aerial photographs;,Malibu (Calif.);,"La Costa Beach, Malibu;","Malibu (Calif.);La Costa Beach, Malibu;",,"Mitock & Sons (Sherman Oaks, California);",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00416.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5102972 Bytes,1036,1639,RGB,1546030490,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/588/page/0/inline/,586;587;588,588,586,wienberg586
589,Las Flores Inn,"The Las Flores Inn, a legendary seafood restaurant on the Pacific Coast Highway, is seen here in its original, but modified form in the late 1940s, shortly after it was purchased by proprietor Chris Polos. In the early 1950s, Polos changed the name of the establishment to The Sea Lion Inn, and the restaurant would go through several iterations on this spot over the ensuing decades, due to either expansion or fire.  In 1996, this became the site of Duke's Malibu restaurant. On reverse: [printed] The rendezvous of the stars. Home of the seals. Private Beach. Specializing in Sea Food, Best in the west. Come as you are, you will be welcome.",1949,Postcards; Restaurants;,Malibu (Calif.);,"Las Flores Beach, Malibu;","Malibu (Calif.);Las Flores Beach, Malibu;",,Genuine Curteich Chicago; C.T. Art-Colortone,,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00422.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5193140 Bytes,1041,1660,RGB,1589975987,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/591/page/0/inline/,589;590;591,591,589,wienberg589
592,Malibu Sea Lion,"The Malibu Sea Lion, a legendary seafood restaurant on the Pacific Coast Highway, is seen here as it appeared in the early 1960s after proprietor Chris Polos purchased and greatly expanded the Las Flores Inn. The Sea Lion went through several iterations on this spot over the ensuing decades--due to either expansion or fire--and, in 1996, became the site of Duke's Malibu restaurant. On reverse: [printed] World's longest ocean front dining room. World famous fish house.",1962,Postcards; Coastlines; Restaurants;,Malibu (Calif.);,"Las Flores Beach, Malibu;","Malibu (Calif.);Las Flores Beach, Malibu;",,"Eugene Hanson, Creative Camera",,,,"Color postcard, 3.5 x 5.5 inches;",Image,image/jp2,match00424.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",postcard,5143172 Bytes,1041,1644,RGB,2720922838,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/594/page/0/inline/,592;593;594,594,592,wienberg592
