title,subject,description,creator,publisher,contributors,date,type,genre,format,digitization,identifier,source,relation,language,coverage,rights,rightsstatement,audience,image size,dpi,date (digitized),negative or print,location,note,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Crowd watching a military induction ceremony on an outdoor stage, April 1944.","Community & social service organizations; Festivals & celebrations; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a crowd watching a military induction ceremony for enlistees Saburo Kawamura, Yoneichi Fukui, Takeo Fukuda, Joe Hamashita, John Miyamoto, Ken Tamura, Katsumi Arakawa, John Okumura, and Sam Fujishin, with a sign acknowledging the 336 men from the Heart Mountain Relocation Center who had enlisted up to that point, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0183n04b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/391,391,392.jp2,/hiraharag/image/392.jp2,hiraharag391
Man speaking at a military induction ceremony on an outdoor stage.,"Associations & organizations; Festivals & celebrations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a man speaking at a military draft induction ceremony, with a sign acknowledging the 407 men from the Heart Mountain Relocation Center who were currently inducted, Heart Mountain Relocation Center, Wyoming., Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-06-23,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0167n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/392,392,393.jp2,/hiraharag/image/393.jp2,hiraharag392
"Members of the Young People&#x27;s Club from Block 15, May 3, 1944.","Education; Facilities & services; Public school; Student clubs; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of members of the Young People&#x27;s Club from Block 15, including Hank Sakauye, Etsuo Hiraishi, Hisako Nakamura, Sumio Hitomi, Tak Fukuda, Chifune Hasegawa, Yoshito Iwamoto, Ben Egashia, Mkie Hide, Ruth Otani, Janice Shirota, and Fumi Iseri, posing inside a barrack, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-05-03,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0184n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,2&quot;x3&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/393,393,394.jp2,/hiraharag/image/394.jp2,hiraharag393
Man speaking at a military induction ceremony on an outdoor stage.,"Associations & organizations; Festivals & celebrations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a man speaking at a military draft induction ceremony, with a sign acknowledging the 407 men from the Heart Mountain Relocation Center who had currently inducted, Heart Mountain Relocation Center, Wyoming., Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-06-23,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0167n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/406,406,407.jp2,/hiraharag/image/407.jp2,hiraharag406
"Sergeant Ben Kuroki speaking from the Heart Mountain High School stage for the 19A Assembly, April 28, 1944.","Community & social service organizations; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of  Sergeant Ben Kuroki speaking from the Heart Mountain High School stage with a flag in the background for the 19A Assembly, Heart Mountain Relocation Center, Wyoming.  The assembly was in the Heart Mountain High School Gymansium.  Kuroki stands in front of a microphone.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-28,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0169n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/410,410,411.jp2,/hiraharag/image/411.jp2,hiraharag410
"Audience at Heart Mountain High School listening to Sergeant Ben Kuroki speak at the 19A Assembly, April 28, 1944.","Community & social service organizations; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of an audience listening to Sergeant Ben Kuroki speaking from the Heart Mountain High School stage for the 19A Assembly, with WRA photographer Bud Aoyama seated in the front row, Heart Mountain Relocation Center, Wyoming.  The assmebly is in the Heart Mountain High School gymnasium.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-28,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0169n03.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/412,412,413.jp2,/hiraharag/image/413.jp2,hiraharag412
"Sergeant Ben Kuroki speaking from an outdoor stage, April 31, 1944.","Community & social service organizations; Festivals & celebrations; Veterans&#x27; organizations;Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Sergeant Ben Kuroki speaking from an outdoor stage at a ceremony in his honor and holding a book from Heart Mountain commemorating his visit , Heart Mountain Relocation Center, Wyoming.  Children surround are sitting along the front of the stage.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-30,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0170n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/413,413,414.jp2,/hiraharag/image/414.jp2,hiraharag413
"Sergeant Ben Kuroki signing autographs for children, April 31, 1944.","Community & social service organizations; Festivals & celebrations; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Sergeant Ben Kuroki signing autographs for children at a ceremony in his honor, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-30,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0170n02a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/414,414,415.jp2,/hiraharag/image/415.jp2,hiraharag414
"Girl Scouts Drill team performing at a ceremony for Sergeant Ben Kuroki, April 31, 1944.","Community & social service organizations; Festivals & celebrations; Public school; Veterans&#x27; organizations;Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Girl Scouts Drill team performing a routine at a ceremony for Sergeant Ben Kuroki, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-30,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0170n02b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/415,415,416.jp2,/hiraharag/image/416.jp2,hiraharag415
"Boy Scouts Drum and Bugle Corp marching down the road between the barracks as part of a ceremony for Sergeant Ben Kuroki, April 31, 1944.","Boy Scouts & Girl Scouts of America; Community & social service organizations; Festivals & celebrations; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Boy Scouts Drum and Bugle Corp playing and marching down the road between the barracks as part of a ceremony for Sergeant Ben Kuroki, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-30,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0170n03a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/416,416,417.jp2,/hiraharag/image/417.jp2,hiraharag416
"Sergeant Ben Kuroki signing autographs for children, April 31, 1944.","Community & social service organizations; Festivals & celebrations; Veterans&#x27; organizations;Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Sergeant Ben Kuroki signing autographs for children behind the school gymnasium at a ceremony for Sergeant Ben Kuroki, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-30,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0170n03b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/417,417,418.jp2,/hiraharag/image/418.jp2,hiraharag417
"Sergeant Ben Kuroki seated inside of a school classroom, April 26, 1944.","Community & social service organizations; Family; Veterans&#x27; organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of  Sergeant Ben Kuroki seated inside of a Heart Mountain High School classroom, Heart Mountain Relocation Center, Wyoming.  Heart Mountain is in the background.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-04-26,Image,Portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0171n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,3&quot;x2&quot;,2400,2011-10-27,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/418,418,419.jp2,/hiraharag/image/419.jp2,hiraharag418
"Mr. Ichiro Itani standing outside with a camera, 1944.","Family; Art; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Mr. Ichiro Itani posing outside of his a family barrack 9-1-F with a camera, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0193n01a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/421,421,422.jp2,/hiraharag/image/422.jp2,hiraharag421
Group from Heart Mountain standing in front of the Buffalo Bill Monument.,"Family; Art; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Roy Mitusada and his son, Jeanette and Joanne Yamaguchi, Koto Hirahara, and Kiyo Hide posing with the Buffalo Bill Monument, Cody, Wyoming.  The photograph is taken from a distance and captures the statue of Buffalo Bill Cody on his horse.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0194n01a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Cody,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/423,423,424.jp2,/hiraharag/image/424.jp2,hiraharag423
Group from Heart Mountain standing in front of the Buffalo Bill Monument.,"Family; Art; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Roy Mitusada and his son, Jeanette and Joanne Yamaguchi, Koto Hirahara, and Kiyo Hide posing with the Buffalo Bill Monument, Cody, Wyoming.  In this photograph the group is featured most prominently.  Roy Mitsuda is wearing a military uniform, his son is wearing an overcoat and garrison cap, and Koto Hirahara is wearing a hat adorned with flowers.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0194n01b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Cody,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/424,424,425.jp2,/hiraharag/image/425.jp2,hiraharag424
"Seicho-No-le group gathered outside with a sign, 1944.","Associations & organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the Seicho-No-le group posing together outside of a barrack with a sign, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0197n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English; Japanese,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/428,428,429.jp2,/hiraharag/image/429.jp2,hiraharag428
"Group of people sitting on cots inside of the administration living quarters, 1944.","Associations & organizations; Living conditions; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a group of people standing and sitting on cots inside of the administration living quarter, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0202n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/441,441,442.jp2,/hiraharag/image/442.jp2,hiraharag441
"Community Enterprises group outside the Heart Mountain School, 1944.","Associations & organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the Community Enterprises group posing outside of the Heart Mountain School, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0205n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/444,444,445.jp2,/hiraharag/image/445.jp2,hiraharag444
"Group portrait of the Shibai theatrical group, 1944.","Associations & organizations; Drama; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the Shibai kabuki theatrical group posing on a stage, Heart Mountain Relocation Center, Wyoming.  Some of the actors are wearing kabuki make up and Japanese costumes.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0207n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-31,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/447,447,448.jp2,/hiraharag/image/448.jp2,hiraharag447
"Barracks with mountains in the background, 1943.","Living conditions; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of barracks with mountains in the background, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943,Image,Landscape portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0209n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-11-01,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/451,451,452.jp2,/hiraharag/image/452.jp2,hiraharag451
