title,creator,date,date.digital,publisher,description,subject,type,genre,location,rights,rightsstatement,identifier,holding institution,digitization,format,contributors,language,source,relation,dates,control,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Map of Oregon and Washington Trans-Continental Freight Co. (Incorporated), (1906)",Trans-Continental Freight Company.,1906,2000-2002,Chicago : Geographical Pub. Co.,"2 maps : col. ; 23 x 33 cm., on sheet 56 x 36 cm. Relief shown by hachures. Cover title. &quot;Bormay &amp; Co., N.Y.&quot; Originally folded, in cover 23 x 11 cm. Indexes of counties and towns on verso.",Washington (State)--Maps; Oregon--Maps; Road Maps--Washington (State); Road Maps--Oregon,Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu282; G4280 1906 .T73x,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Map of Oregon and Washington Trans-Continental Freight Co., 1906. G4280 1906 .T73x at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1906,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/513,513,265.jp2,/maps/image/265.jp2,maps513
"Blalock Island (1906). Washington 1:125,000 topographic quadrangles","United States. Geological Survey; Douglas, E.M.; Barnard, E.C.; Sylvester, A.H.; Stoner, S.N.; Bartlett, E.R.; Penick, S.T.; LaFollette, R.M.; Oliver, A.I.",1962,2000-2002,"Washington, D.C. : The Survey","1 map : col. ; 45 x 31 cm. or smaller. Relief shown by contours and spot heights. Title supplied by cataloger. Set includes various editions. &quot;Surveyed in 1906&quot;. &quot;Contour interval 50 feet. Datum is mean sea level.&quot; &quot;Elevations on this sheet are one foot too low.&quot; Scale 1:125,000 ; Polyconic proj. (W 120&amp;deg;00--W 119&amp;deg;30/N 46&amp;deg;00--N 45&amp;deg;30)","Washington (State)--Maps, Topographic",Image,Maps; Topographic Maps,United States--Washington (State)--Benton county; United States--Washington (State)--Klickitat county; United States--Oregon--Morrow county; Columbia River,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government.  Please give credit to the University of Washington Libraries.,topo61; WA 30: Blalock Island 1906,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Washington 1:125,000 topographic quadrangles. WA 30: Blalock Island 1906 at University of Washington Libraries Map Collection",,1906,,,2003-02-03,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/514,514,517226112001_topo61.jp2,/maps/image/517226112001_topo61.jp2,maps514
"Slate Pass (1920). Washington 1:125,000 topographic quadrangles","United States. Army. Corps of Engineers. Potter, Chas. L., Col.; Northern Boundary Survey",1936~,2000-2002,"Fort Humphreys, D.C. : Engineer Reproduction Plant, U.S. Army","1 map : 45 x 31 cm. or smaller. Relief shown by contours, hachures, and spot heights. Title supplied by cataloger. Set includes various editions. &quot;General data from Northern Boundary Survey Okanogan National Forest Map, 1918.&quot; &quot;Contour interval 500 feet. Datum is mean sea level.&quot; &quot;Advance sheet 1649:66/67. Scale 1:125,000 (W 121&amp;deg;00--W 120&amp;deg;30/N 49&amp;deg;00--N 48&amp;deg;30)","Washington (State)--Maps, Topographic",Image,Maps; Topographic Maps,United States--Washington (State)--Chelan county; United States--Washington (State)--Okanogan county; United States--Washington (State)--Skagit county; United States--Washington (State)--Whatcom county,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,topo3; WA 30: Slate Pass 1920,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Washington 1:125,000 topographic quadrangles. WA 30: Slate Pass 1920 at University of Washington Libraries Map Collection",,1920; 1918,,,2003-07-23,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/515,515,62852207112001_topo3.jp2,/maps/image/62852207112001_topo3.jp2,maps515
"Umatilla (1908). Washington 1:125,000 topographic quadrangles","United States. Geological Survey; Marshall, R.B.; Birdseye, C.H.; Muldrow, Robert; Eberly, C.F.; Giffin, C.E.; Reclamation Service.; Sylvester, A.H.",1907,2000-2002,"Washington, D.C. : The Survey","1 map : col. ; 45 x 31 cm. or smaller. Relief shown by contours and spot heights. Title supplied by cataloger. Set includes various editions. &quot;Surveyed in 1907&quot;. &quot;Contour interval 50 feet. Datum is mean sea level.&quot; &quot;Edition of 1908&quot;. Scale 1:125,000 (W 119&amp;deg;30--W 119&amp;deg;00/N 46&amp;deg;00--N 45&amp;deg;30)","Washington (State)--Maps, Topographic",Image,Maps; Topographic Maps,United States--Washington (State)--Benton county; United States--Oregon--Morrow county; United States--Oregon--Umatilla county; Columbia River,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government.  Please give credit to the University of Washington Libraries.,topo62; WA 30: Umatilla 1908,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Washington 1:125,000 topographic quadrangles. WA 30: Umatilla 1908 at University of Washington Libraries Map Collection",,1908; 1907,,,2003-07-23,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/516,516,83930226112001_topo62.jp2,/maps/image/83930226112001_topo62.jp2,maps516
"Mount Hood and Vicinity (1911). Washington 1:125,000 topographic quadrangles","United States. Geological Survey; Marshall, R.B.; Gerdine, T.G.; Sylvester, A.H.; Cowgill, Ralph; LaFollette, R.M.; Pendleton, T.P.; Sellon, E.L.; Johnston, E.R.; United States. Coast and Geodedic Survey.; Urquhart, C.F.; Carlock, J.H.; Neuner, George Jr.; Stoner, S.N.",1959,2000-2002,"Washington, D.C. : The Survey","1 map : col. ; 39 x 38 cm. Relief shown by contours and spot heights. Title supplied by cataloger. Set includes various editions. &quot;Surveyed in 1907 and 1909-1911&quot;. &quot;Contour interval 100 feet. Datum is mean sea level.&quot; Scale 1:125,000 ; Polyconic proj. (W 122&amp;deg;15--W 121&amp;deg;42/ N 45&amp;deg;44--N 45&amp;deg;18)","Washington (State)--Maps, Topographic",Image,Maps; Topographic Maps,United States--Washington (State)--Skamania county; United States--Oregon--Clackamas county; United States--Oregon--Multnomah county,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government.  Please give credit to the University of Washington Libraries.,topo66; WA 30: Mount Hood and Vicinity 1911,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Washington 1:125,000 topographic quadrangles. WA 30: Mount Hood and Vicinity 1911 at University of Washington Libraries Map Collection",,1911; 1909; 1910; 1959,,,2003-02-03,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/517,517,79111217112001_topo66.jp2,/maps/image/79111217112001_topo66.jp2,maps517
"Methow (1899). Washington 1:125,000 topographic quadrangles","United States. Geological Survey; Goode, R.U. Sylvester, A.H; Griswold, W.T.; Farmer, R.A.",1963,2000-2002,"Washington, D.C. : The Survey","1 map : col. ; 45 x 31 cm. or smaller. Relief shown by contours and spot heights. Title supplied by cataloger. Set includes various editions. &quot;Surveyed in 1897 and 1899&quot;. &quot;Contour interval 100 feet. Datum is mean sea level.&quot; Scale 1:125,000 ; Polyconic proj. (W 120&amp;deg;30--W 120&amp;deg;00/N 48&amp;deg;30--N 48&amp;deg;00)","Washington (State)--Maps, Topographic",Image,Maps; Topographic Maps,United States--Washington (State)--Chelan county; United States--Washington (State)--Okanogan county,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government.  Please give credit to the University of Washington Libraries.,topo15; WA 30: Methow 1899,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in Washington 1:125,000 topographic quadrangles. WA 30: Methow 1899 at University of Washington Libraries Map Collection",,1899; 1897,,,2003-02-03,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/518,518,75150217112001_topo15.jp2,/maps/image/75150217112001_topo15.jp2,maps518
"A new map of the state of California, the territories of Oregon and Utah : compiled after the best authorities, (1852)","Biedermann, E.",1852,2000-2002,Hildburghausen : The Bibliographic Institution,"1 map : hand col. ; 44 x 37 cm. Scale ca. 1:7,000,000. Prime meridians: Greenwich and Washington. Inset: San Francisco and environs. A hand colored map including the Oregon Territory --comprising the area that would later split into Washington Territory in 1853. The map also includes the recently formed State of California. Its population boomed following the discovery of gold in 1848 and the rush of 49ers into the area the next year. Note also Utah Territory. Worried by the streaming mass of miners coming into the area in 1849, the Mormons invited Europeans interested in their faith(particularly from England) to come and populate Utah. This map is numbered 144 from Joseph Meyer&#x27;s &quot;Meyer&#x27;s Hand Atlas&quot;, published by the Bibliographic Institution of Hildburghausen (Germany).",Boundaries--Washington (State); Oregon Territory; West (U.S.)--Maps,Image,Maps,United States--California; United States--Oregon; United States--Utah,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu270; G4210 1852 .N48,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found in Meyer&#x27;s Hand-Atlas, 1852. G4210 1852 .N48 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1852,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/519,519,266.jp2,/maps/image/266.jp2,maps519
"Washington, (1892). Bankers&#x27; and brokers&#x27; railroad atlas.. Grant&#x27;s bankers&#x27; and brokers&#x27; railroad atlas.","Grant, A. A. (Alexander A.)",1892,2000-2002,"[New York, N.Y. : A. A. Grant]","1 map : col. ; 39 x 54 cm. Relief shown by hachures and spot heights. Shows railroads, county lines, and reservations coded by color. From: Grant&#x27;s bankers&#x27; and brokers&#x27; railroad atlas. Prime meridians: Greenwich and Washington. Atlas p. numbers in upper margin: 280-281. &quot;Index of maps&quot; in margins. Partial Washington and Oregon indexes on verso. This map is almost an exact duplicate of Henry Walker&#x27;s 1891 &#x27;Washington&#x27;: http://content.libraries.wsu.edu/cdm/singleitem/collection/maps/id/651 Close examination discovers only small changes, such as the addition of more railroads to the list at the bottom right.",Washington (State)--Maps; Railroads--Maps; Washington Territory,Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu268; G4281.P3 1892 .G73x,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Washington, 1892. G4281.P3 1892 .G73x at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1888; 1889; 1890; 1891; 1892; 1893; 1894; 1895; 1896,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/520,520,267.jp2,/maps/image/267.jp2,maps520
"Map of the United States, (1851)","Case, Tiffany and Company.",1851,2000-2002,"Hartd. [i.e. Hartford] : Case, Tiffany &amp; Co","1 map ; 58 x 60 cm. Map of North America including Mexico, Central America, and the western Caribbean. Relief shown by hachures. Also shows locations of native American tribes. Prime meridians: Greenwich and Washington. Includes a view of the &quot;Capitol at Washington&quot; and a portrait of George Washington.",United States--Maps; Indians of North America--Maps,Image,Maps,United States,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu269; G3300 1851 .C37x,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Map of the United States, 1851. G3300 1851 .C37x at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1851,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/521,521,268.jp2,/maps/image/268.jp2,maps521
"Washington and Oregon, c 1894. Bradley&#x27;s atlas of the world for commercial and library reference.",Bradley &amp; Company.,1894~,2000-2002,[Philadelphia] : Wm. M. Bradley,"1 map : hand col. ; 50 x 37 cm. Note Relief shown by hachures. Prime meridians: Greenwich and Washington. From: Bradley&#x27;s atlas of the world for commercial and library reference. Philadelphia, Pa.: Wm. M. Bradley &amp; Co., 1895. &quot;54&quot;--Lower right corner. Index included on separate leaf.","Washington (State)--Maps; Oregon--Maps; Maps--Northwest, Pacific--19th century",Image,Maps,United States--Washington (state); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu274; G4280 1894 .B73,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Washington and Oregon, c 1894. G4280 1894 .B73 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1894,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/523,523,271.jp2,/maps/image/271.jp2,maps523
"Nouvelle carte des sources de fleuve Columbie, dressee par le R.P. DeSmet, de la Compagnie de Jesus, (1846)","Smet, Pierre-Jean de, 1801-1873.",1848,2000-2002,"Gand, Impr. &amp; lith.de Ve. Van der Schelden","1 map ; 27 x 32 cm. Maps shows the locations of missions, churches, and the travels of Pierre-Jean DeSmet. The title of the map translates loosely as &quot;New chart of the sources of Columbia river, made by the R.P. DeSmet, of the Society of Jesus, (1846)&quot;. Father Pierre Jean DeSmet came to the northwest in 1840, as a &quot;black robe&quot; missionary to the Flathead Indians. With them, he traveled through Wyoming, Idaho, and Montana until 1841, when he was appointed Superior of the Oregon Missions. He remained at that post until 1846, after which he returned east.","Indians of North America--Missions--Maps; Missions--Oregon--Maps; Smet, Pierre-Jean de, 1801-1873.",Image,Maps,United States--Oregon; Canada,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu262; F880 .S644 1848 c.2,"Manuscripts, Archives, and Special Collections, Washington State University Libraries",Original maps were scanned in color at 600 dpi on a Microtek 9600XL scanner and saved as TIFF files. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.,image/jpg2000,"Manuscripts, Archives, and Special Collections",French,"Is found in Missions de l&#x27;Oregon et voyages aux montagnes Rocheuses, aux sources de la Colombie, de L&#x27;Athabasca et du Sascatshawin, en 1845-46, 1848. F880 .S644 1848 c.2 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1848,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/524,524,272.jp2,/maps/image/272.jp2,maps524
"Nouvelle carte des sources de la riviere Tete-Plate, dressee par le R.P. DeSmet, de la Compagnie de Jesus (1846)","Smet, Pierre-Jean de, 1801-1873.",1848,2000-2002,"Gand, Impr. &amp; lith.de Ve. Van der Schelden","1 map ; 27 x 32 cm. Maps shows the locations of missions, churches, and the travels of Pierre-Jean DeSmet. The title of the map translates loosely as &quot;New chart of the sources of the Flathead river, made by the R.P. DeSmet, of the Society of Jesus (1846)&quot;.Father Pierre Jean DeSmet came to the northwest in 1840, as a &quot;black robe&quot; missionary to the Flathead Indians. With them, he traveled through Wyoming, Idaho, and Montana until 1841, when he was appointed Superior of the Oregon Missions. He remained at that post until 1846, after which he returned east.","Indians of North America--Missions--Maps; Missions--Oregon--Maps; Smet, Pierre-Jean de, 1801-1873.",Image,Maps,United States--Oregon; Canada,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu263; F880 .S644 1848 c.2,"Manuscripts, Archives, and Special Collections, Washington State University Libraries",Original maps were scanned in color at 600 dpi on a Microtek 9600XL scanner and saved as TIFF files. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.,image/jpg2000,"Manuscripts, Archives, and Special Collections",French,"Is found in Missions de l&#x27;Oregon et voyages aux montagnes Rocheuses, aux sources de la Colombie, de L&#x27;Athabasca et du Sascatshawin, en 1845-46, 1848. F880 .S644 1848 c.2 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1848,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/525,525,273.jp2,/maps/image/273.jp2,maps525
"Plat showing mining claims of the east half Chewelah mining district, Stevens County, Washington compiled by E.M. Spedden, (ca. 1900)","Spedden, E. M.",1900~,2000-2002,"Chewelah, Wa. : E.M. Spedden","1 map : blueprint ; 72 x 53 cm., on sheet 95 x 57 cm. Originally folded to 25 x 29 cm. WSU Archives has name of donor and date of donation printed in pencil. Chewelah was founded in 1873, but boomed in the late 1880s with the discovery of gold just to the east. Chewelah was always a rough mining town, and copper, silver, and lead mines predominated. When World War One came, Chewelah was one of the U.S.&#x27;s largest producers of Magnesite, an important part of the steel-making process.",Mining claims--Washington (State)--Chewelah Region--Maps,Image,Maps; Plats; Blueprints,United States--Washington (State)--Stevens county,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu317; G4282.C44H1 1900 .S64x,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Plat showing mining claims of the east half Chewelah mining district, Stevens County, Washington, ca. 1900. G4282.C44H1 1900 .S64x at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1896.; 1897; 1898; 1900; 1901; 1902; 1903; 1904,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/526,526,274.jp2,/maps/image/274.jp2,maps526
"Bird&#x27;s eye view of Spokane Falls, W.T., (1884)","Wellge, H. (Henry)",1884,2000-2002,"Milwaukee : Beck &amp; Pauli, Litho","1 view ; 31 x 69 cm. Oriented with north toward lower left. Includes key to points of interest, list of business references, and illustrations of prominent buildings. Insets: Gonzaga College, Public School, West Side of Howard Street, and North Side of Riverside Ave. In 1873, James Glover purchased a &#x27;squatters claim&#x27; from two men who&#x27;d set up a log-trimming plant there. Glover built a sawmill and store, and within a year and a half of his purchase the county had grown from a dozen families in a 1700 sq mile area to better than 100 people. Spokane grew relatively quickly, based on its position near the Mullan Road and its location as a central trading point between Colville and Lewiston. In 1881 the Northern Pacific Railroad entered Spokane, and in 1883 the NPRR completed its transcontinental route, funneling large amounts of traffic through Spokane thereafter. Much of downtown Spokane as seen here was shortly to be destroyed, when an 1889 fire burned thirty-two city blocks. The burne",Spokane (Wash.)--Description and travel--Aerial--Maps; Spokane (Wash.)--Pictorial Works; Gonzaga University.; Washington Territory,Image,Maps; Bird&#x27;s-eye views,United States--Washington (Terr.)--Spokane county--Spokane,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu271; G4284.S7A3 1884 .W4,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Bird&#x27;s eye view of Spokane Falls, W.T., 1884. G4284.S7A3 1884 .W4 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1884,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/527,527,275.jp2,/maps/image/275.jp2,maps527
"Territory of Washington compiled from the official records of the General Land Office and other sources by C. Roeser, (1876)",United States. General Land Office.,1876,2000-2002,New York : Julius Bien,"1 map ; 61 x 80 cm. Relief shown by hachures. Counties are named, proposed rail lines cross to the ocean. Vancouver, Cathlamet, Olympia, Steilacoom, Snohomish, Coveland, and Port Townsend, are identified. Still, only a portion of the region is surveyed and the Colville Indian Reservation occupies a tremendous area in the northeast. A branch of the Northern Pacific Rail Road is shown running north/south connecting Seattle with Tacoma. Prime meridians: Washington &amp; Greenwich. At head of title: Department of the Interior, General Land Office, J.A. Williamson, Commissioner.",Washington (State)--Maps; Colville Indian Reservation (Wash.)--Maps; Washington Territory; Surveys--Washington Territory,Image,Maps,United States--Washington (Terr.),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu318; G4280 1876 .U55,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Territory of Washington compiled from the official records of the General Land Office, 1876. G4280 1876 .U55 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1876,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/528,528,276.jp2,/maps/image/276.jp2,maps528
"Map of Chehalis County, Washington compiled from government and county records and published by C. H. Fenner , C.E. and Surveyor, (1893)","Fenner, C. H.",1893,2000-2002,"Montesano, Wa. : C. H. Fenner","1 blueprint map ; 74 x 75 cm. fold. to 17 x 10 cm. Original folding blueprint map. Color coding manuscripts additions indicate Weyerhauser and other timber interests. Fenner also located cities, railroads, the Quinault Indian Reservation and a large northern region of the county as mountainous and unsurveyed. Gray&#x27;s Harbor is also shown. &quot;Entered according to act of Congress in the year 1893 by C.H. Fenner in the office of the Librarian of Congress at Washington.&quot; WSU MASC copy inscribed on verso, &quot;W Cooney = Complimentary =&quot;. An attempt was made in 1907 to subdivide Chehalis County into two counties: Chehalis and Grays Harbor. Though the state legislature approved this, it was overturned by the State Supreme Court on constitutional grounds. Chehalis County as a whole changed its name to Grays Harbor County in 1915, and this map accurately represent the county lines that are in effect today.","Washington (State)--Maps; Chehalis County (Wash.)--Maps; Washington (State) imprints, 19th century, 1893.",Image,Maps; Plats; Blueprints,United States--Washington (State)--Grays Harbor county,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu267; G4280 1893 .F45,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Map of Chehalis County, Washington, 1893. G4280 1893 .F45 at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1893,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/529,529,277.jp2,/maps/image/277.jp2,maps529
"Colton&#x27;s map of the states and territories west of the Mississippi River to the Pacific Ocean : showing the overland routes, projected rail road lines, &amp;c, (1864)",J.H. Colton &amp; Co.,1864,2000-2002,New York : The Company,"1 map : hand col. ; 67 x 97 cm. Relief shown by hachures and spot heights. Also shows locations of native tribes. Cover title: Colton&#x27;s map of the states &amp; territories from the Mississippi River to the Pacific Ocean, &amp; c. &quot;Entered according to Act of Congress in the year 1864 by J.H. Colton in the Clerk&#x27;s Office of the District Court for the Southern District of New York.&quot; Prime meridians: Greenwich and Washington. Originally folded, in cover 16 x 11 cm. The approximate date of this map is easily distinguishable in a quick glance, as the Idaho Territory was formed out of the Washington Territory in 1863, and subsequently split into the Idaho and Montana Territories just one year later, in 1864. Also of note on this map are the Nevada borders, which are at this time further west and north than they are in present day. The Nevada Territory was created in 1861, extended into Utah in 1862, statehood was granted in 1864, and then the State was extended further into both Utah and Arizona in 1866. Nevada&#x27;s rush to Statehood came about mostly due to the Union&#x27;s need of tax revenue from the extensive silver mines there to finance its actions in the Civil War. The expansion into the Arizona and Utah territories (moving the western Nevada border from 117 degrees west longitude to 114 degrees and south through Arizona along the Colorado) came about from the desire to place a strategically important pass, located just east of then sleepy Las Vegas on the Old Spanish Trail, inside incorporated United States territory, and outside of both Mormon and notoriously lawless Arizonan hands.",West (U.S.)--Maps; Indians of North America--Maps; Railroads--West (U.S.)--Maps,Image,Maps,United States,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was published prior to 1923.,wsu319; G4050 1864 .J14x,"Manuscripts, Archives, and Special Collections, Washington State University Libraries","Original maps were photographed using a Mamiya R267 camera on 120 film and scanned at 4,000 dpi as TIFF files on a Nikon Super Cool Scan 8000. The TIFF files were converted into the MrSID format at a compression ratio of 12 to 1 using LizardTech&#x27;s Geospatial Encoder 1.4 software. These MrSid files were then uploaded into the CONTENTdm database at the Washington State University Libraries.",image/jpg2000,"Manuscripts, Archives, and Special Collections",English,"Is found as Colton&#x27;s map of the states and territories west of the Mississippi River to the Pacific Ocean, 1864. G4050 1864 .J14x at Washington State University Libraries' Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",,1864,,,2003-02-03,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/532,532,280.jp2,/maps/image/280.jp2,maps532
