objectid,collectionid,cdmid,youtubeid,title,description,creator,date,date-is-approximate,subject,location,latitude,longitude,source,identifier,original_format,format,type,language,rights,rightsstatement
demo_psychiana835,psychiana,835,,Study This Picture Carefully,Illustration of a stalk of corn. Text follows the illustration regarding the ways in which a person is like a corn plant.,,1939,yes,God-Law; Realm of God; God-Power; Illustrations; Stephen Bern Dahlman,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 3",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana443,psychiana,443,,Tack this up in your kitchen,"Flyer includes illustrations of Hitler and Mussolini, reminding Psychiana students to say an affirmation and use the Spirit of God against injustice.",,1941,yes,Spirit of God; Psychiana Affirmations; Hitler; Mussolini,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 31",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana99,psychiana,99,,Test Tube' Life Hopeless? Two Scientists Disagree,"Clipping reports that man might as well give up trying to create life in a laboratory and affirms, via a quote from Dr. James Gray, that Biology provides no support as the origin of living matter in the world.",,1933-09-08,,Science and Technology,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Folder 24",single-page; clippings,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana323,psychiana,323,,Thank God for the Atom-Bomb,Flyer claims the atom bomb is the first scientific proof of a power that lives in people. Also claims this 'POWER POWER POWER' comes from talking to God.,"Psychiana, Inc.",1946,yes,Atom Bomb; God-Power; Science and Science and Technology; Talking with God,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana354,psychiana,354,,The Amazing Story of 'Psychiana',Small card advertising a brochure about Psychiana for only $1.00. Includes detachable order form.,"Psychiana, Inc.",1942,yes,Psychiana Headquarters; Psychiana Staff; Costs,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26",single-page; offers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana318,psychiana,318,,The Beginning of a Busy Day,Advertisement includes photo of Robinson sitting at his desk looking through many large stacks of paper. Caption asserts that Robinson receives more letters via U.S. mail than most professionals and answers every letter with sound and solid advice personally with the help of his staff.,"Psychiana, Inc.",1938,yes,,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27",single-page; advertisements,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana373,psychiana,373,,The Life Story of Frank B. Robinson,Advertisement for Robinson's book 'The Life Story of Frank B. Robinson.'  Includes order form.,,1934,yes,"Moscow, Idaho; Costs; Robinson's Books; Robinson's Life",,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 27",single-page; order forms,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana1025,psychiana,1025,,The Light Within,A flyer featuring an illustration of a lighthouse on the coast representing the light of God within the viewer.,,1942,yes,Spirit of God; God-Power; Truth; Illustrations,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 13",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana686,psychiana,686,,The Man Who Talked With God,"Article from Thrill summarizing the origins of Psychiana, Robinson's beliefs, and focusing on the volume of material Psychiana mails and the large postage bill. Includes multiple photographs of Frank B. Robinson, his family, colleagues, Psychiana headquarters, and a Psychiana lecture.",,1942-05-01,,Psychiana Origin; Robinson Family; Mail Order Religion,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - 'Magazine Articles'",multiple-page; articles,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana374,psychiana,374,,The Name of the Beast 666,Advertisement for Robinson's book 'The Name of the Beast '666.''  Includes order form.,,1935,yes,"Moscow, Idaho; Costs; Robinson's Books",,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 27",single-page; order forms,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana252,psychiana,252,,The New Psychiana,Flyer announcing Frank B. Robinson's new Lessons.,,1945,yes,Doomed; Atomic War; Hiroshima; Civilizations; World War,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23",multiple-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana338,psychiana,338,,The Power of God Can Give To You New Life,Flyer claims Psychiana lessons will bring new life to students and can provide Allied forces with power to win World War II. Also states churches have never revealed this Power.,"Psychiana, Inc.",1944,yes,God-Power; World War; Allied Forces,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana339,psychiana,339,,"The Power of God, the Power of God, the Power of God","Flyer proclaims the discovery of the Power of God, which is available to anyone at any time through Psychiana Lessons. Also criticizes orthodox doctrine that God was crucified.","Psychiana, Inc.",1944,yes,Crucified God; Criticizing Orthodox Religion; God-Power,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana273,psychiana,273,,"The Psychiana Bulletin, May 1950","Bulletin includes a primary article discussing the importance of mountains and the 'high' people feel when they go to the mountains and into nature. This  includes stories of mountains in the Bible. Also includes stories written for children, letters from students, Q and A, and other articles.",The Wayfarer'; Various,1950-05-01,,Psychiana Bulletin,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 26",multiple-page; bulletins,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana707,psychiana,707,,"The Shepherd of Moscow, Idaho","Article from Colliers Magazine provides a holistic view of Frank B. Robinson's life and Psychiana, including Robinson's travels before founding Psychiana, the development of the literature and doctrine, those who oppose and criticize Psychiana, and the financial success of Robinson himself.","Kobler, John",1943-02-20,,Robinson's Life; Psychiana Criticism; Robinson's Wealth,"Moscow, ID",46.732063,-117.001743,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - 'Magazine Articles'",multiple-page; articles,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana360,psychiana,360,,"The Sky is Red, for Protestant ministers",Lecture addressed to Protestant ministers about the dire nature of the church and its doctrine.,"Robinson, Frank B.",1940,yes,Criticizing Orthodox Religion; Church in Decline; Jesus Christ,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26",multiple-page; lectures,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana405,psychiana,405,,The World Comes After the Truth Every Time it is Offered to it.,Single-page flyer featuring large photograph of audience that came to hear Robinson speak in LA.  Text follows regarding the popularity of Robinson as a speaker,,1935,yes,"Lecture; Moscow, Idaho; Ernest Holmes; Los Angeles; Spirit of God",,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 28",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana831,psychiana,831,,This Drawing Depicts What Everyone May Have Through the Dynamic Power of the 'God-Law',Illustration of the Statue of Liberty. Paragraph follows illustration detailing the ways in which Psychiana can liberate its practitioners.,,1939,yes,God-Law; Spirit of God; America; Freedom; Illustrations; Stephen Bern Dahlman,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 3",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana828,psychiana,828,,This Life of Fulfillment May be Yours Through the Power Teach,"Illustration and two letters. Illustration of a man wearing academic regalia and bearing a scroll labeled 'TRUTH.' He is walking out of a building labeled 'KNOWLEDGE OF THE LIVING GOD' and down a path labeled 'LIFE OF FULFILLMENT' toward a rising sun. The letter under the illustration discusses the way God is available for all persons. The reverse side contains a letter titled 'A WORD OF WARNING' that states that, although there are wondrous benefits to tapping the God-Power, the knowledge also comes with the responsibility to recruit others to the Psychiana cause.","Robinson, Frank B.",1939,yes,Living God; God-Realm; God-Power; Recruitment; Spreading Psychiana; Illustrations; Stephen Bern Dahlman,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 3",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana250,psychiana,250,,To 'Psychiana' Members who Have Allowed Their Commitments to Become Delinquent [02],A form letter from Frank B. Robinson asks members to meet their monetary commitment for the movement.,"Robinson, Frank B.",1934,yes,Commitment; Delinquent; Students; Lessons,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23",single-page; form letters,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana254,psychiana,254,,To My Students [02],A single-page notice sent to members asking that they do not make Frank B. Robinson any personal loans.,"Robinson, Frank B.",1938,yes,Personal Loans; Sufficient; Bank Loans,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24",single-page; notices,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana293,psychiana,293,,To My Students Everywhere [01],"Letter notifies students Robinson has revised and created new lessons he calls 'masterpieces,' which he claims are far superior to the old lessons. He also offers these lessons to students for free if they bought the old lessons but asks for donations in order to keep Psychiana lessons in production. Letter includes a copy of Robinson's signature and illustrations of Robinson and Tenney.","Robinson, Frank B.",1938,yes,,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27",single-page; letters,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities80,cities,80,,"Main Street. Moscow, Idaho. Moscow, Idaho.",Visible: F & S Drugs.,,1915,y,drugstores; parades;,Moscow,46.731951,-117.001337,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13e,2.25x3.25 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities81,cities,81,,"Main Street from intersection of Main and 5th. Moscow, Idaho.",,,1892,,machinery shop; main street;,Moscow,46.731009,-117.001219,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13f,5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities82,cities,82,,"Main Street looking south from top of Hotel Moscow. Moscow, Idaho.",Postcard. Caption 'No. 43 Lower Main Street from top of Hotel Moscow Idaho',,1940,y,main street;,Moscow,46.731797,-117.001659,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13g,3.5x5.5 black and white print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities83,cities,83,,"Main Street looking north. Moscow, Idaho.","Visible: Fisk's Tires, Star Motel, Albers, Williamsons Dept. Store. Postcard. Caption reads 'Main St., Moscow, Idaho'",,1940,y,main street;,Moscow,46.730424,-117.001358,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13h,3.5x5.5 black and white print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities84,cities,84,,"Main Street from intersection of A and Main Streets. Moscow, Idaho","Visible: Hotel Idaho, Williamson's Dept. Store.",,1920,,main street; hotels (public accommodations);,Moscow,46.734573,-117.001407,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13i,5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities85,cities,85,,"Main Street from intersection of 8th and Main Streets. Moscow, Idaho.",,,1882,,main street;,Moscow,46.728079,-117.001326,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13k,5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities86,cities,86,,"Main Street from intersection of 4th and Main Streets. Moscow, Idaho.","Visible: Moscow Hotel, Creightons, Idaho First National Bank, David's, Carters, Rexall Drugs",,1948,,main street; hotels (public accommodations);,Moscow,46.731698,-117.001326,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13L,8x10 black and white print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities87,cities,87,,"Birdseye view of business district from corner of 6th and Jackson Streets. Moscow, Idaho.","Postcard. Caption reads 'No. 21 Birds eye view business district. Moscow, Idaho.",,1920,,aerial views; lumber yards;,Moscow,46.730025,-117.002689,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13j,3.5x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities88,cities,88,,"Dental office of Dr. J.H. McCallie on Main Street from intersection of 1st and Main Streets. Moscow, Idaho.","On horse, Old Man Fry and Charley, Jack Fry in front of horse, Reverend Will Craig, Lawyer Kearns in window. L to R: Hired girl, Mrs. McCallie, Dr. McCallie with son, Hugh, Lillian Woodworth, Margaret McCallie Moore",,1881,,"drugstores; clinics (buildings, medical);",Moscow,46.733635,-117.001385,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13m,5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities89,cities,89,,"Main Street. Moscow, Idaho.","Visible: Wallace's Jewelry, David's. First automobile in town?",,1910,,main street; horse-drawn vehicles;,Moscow,46.732183,-117.001348,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13n,3.5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities90,cities,90,,"Harrison Old Time Picnic cruise on the Dancewana. Harrison, Idaho.",,,1982-07-01,,panoramas; towns; boats,Harrison,47.455746,-116.788976,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-115-6d,3.5x5 color print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities91,cities,91,,"Main Street looking north. Moscow, Idaho.","Visible: McConnell Maguire, Bank, Hagan's Meat Market",,1896,,main street;,Moscow,46.730424,-117.001358,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13o,4.75x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities92,cities,92,,"Main Street looking east from intersection of Main and 3rd Streets. Moscow, Idaho.",Visible: First National Bank Building,,1896,,main street;,Moscow,46.732326,-117.001326,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13p,4.75x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities93,cities,93,,"First Street looking east from Main Street. Moscow, Idaho.",Visible: spire of St.Marks Episcopal Church,,1896,,main street;,Moscow,46.733643,-117.001289,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13q,4.75x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities94,cities,94,,"2nd Street looking east from Main Street. Moscow, Idaho.",,,1896,,main street;,Moscow,46.73301,-117.001278,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13s,4.75x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities95,cities,95,,"4th of July parade on Main Street. Looking southwest from the corner of 6th and Main Streets. Moscow, Idaho.",Visible: Potlatch Lumber Co.,,1907-07-01,,parades; horse-drawn vehicles; main street;,Moscow,46.730087,-117.001385,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13t,8x10 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities96,cities,96,,"Main Street looking south from between 2nd and 3rd Streets. Moscow, Idaho.",,,1896,,main street;,Moscow,46.732705,-117.001358,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13r,4.75x5.5 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities97,cities,97,,"Ringling Brothers Circus parade on Main Street. Moscow, Idaho.",,,1920,y,parades; horse-drawn vehicles; main street;,Moscow,46.730424,-117.001358,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13u,5.5x6.5 black and white print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities98,cities,98,,"4th of July parade on Main Street. Moscow, Idaho.",,,1909,y,parades; main street;,Moscow,46.730424,-117.001358,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13v,8x10 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_cities99,cities,99,,"Intersection of Main and Third Streets. Moscow, Idaho",,,1991-01-01,,main street;,Moscow,46.732326,-117.001326,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-13w,4x6 black and white print,image/jpg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_cities100,cities,100,,"Panoramic view of Moscow, Idaho",,,1883,,panoramas;,Moscow,46.727593,-116.997013,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-14a,5x7 black and white print,image/jpg,Image;StillImage,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
