title,other title,creator,contributor,date,release date,subject,location,region,time period,description,abstract,table of contents,publisher,agency,standard number,rights,rights release,requirements for use,physical characteristics,collection,collection folder,type,language,format original,digital characteristics-a,series,digital collection,format,related items,title replaced by,title replaces,audience,hosted by,metadata creator,url-a,pres file name-m,pres local file path-m,full text,digital creation date-m,digital creator-m,capture tools-m,resolution-m,bit depth-m,security-m,checksum-m,local call number,revision-m,oclc number,date created,date modified,reference url,compound,cdmid,objectid,contentdm file name,full resolution,contentdm file path
Edgecombe County bookmobile,,"Brown, M. S.",,1952-10,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina,"Edgecombe County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"People standing outside of the Edgecombe County's bookmobile (left to right Mrs. Gattie Cullen, Mrs. Elsie Hyman, Mr. D. Russell Clark, Mrs. Ruth Hathaway, Mrs. Emily Austen, and Miss Janie Allsbrook)",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Edgecombe County Memorial Library,,Image,English,Photographs,2411.462 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Edmondson, Pam",,tts_EdgeCounMemo_2.tif,\Preservation_content\tts\images_master\,,2008-07,"Edmondson, Pam",,600 dpi,24,,,,,433608927,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/133,,133,libraryhistory133,134.jp2,Volume13\tts_EdgeCounMemo_2.tif,/p249901coll36/image/134.jp2
"Edgecombe County Library interior showing tables, bookshelves, periodical display and sitting area",,"Wurts Bros. (New York, N.Y.)",,1956-01,,Public libraries--North Carolina; Reading rooms,"Edgecombe County, North Carolina, United States",,(1954-1971) Civil Rights era,Edgecombe County Public Library's Reading Room,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Edgecombe County Memorial Library,,Image,English,Photographs,1878.551 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Edmondson, Pam",,tts_EdgeCounMemo_3.tif,\Preservation_content\tts\images_master\,,2008-07,"Edmondson, Pam",,600 dpi,24,,,,,433608778,2008-09-25,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/134,,134,libraryhistory134,135.jp2,Volume13\tts_EdgeCounMemo_3.tif,/p249901coll36/image/135.jp2
"Edgecombe County Library interior view of windows, bookshelves and tables",,"Wurts Bros. (New York, N.Y.)",,1956-01,,Public libraries--North Carolina; Children's libraries--North Carolina,"Edgecombe County, North Carolina, United States",,(1954-1971) Civil Rights era,Edgecombe County Public Library's Children's Reading Room,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Edgecombe County Memorial Library,,Image,English,Photographs,1999.982 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Edmondson, Pam",,tts_EdgeCounMemo_4.tif,\Preservation_content\tts\images_master\,,2008-07,"Edmondson, Pam",,600 dpi,24,,,,,433608933,2008-09-25,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/135,,135,libraryhistory135,136.jp2,Volume13\tts_EdgeCounMemo_4.tif,/p249901coll36/image/136.jp2
Edgecombe County Public Library (exterior),,"Wurts Bros. (New York, N.Y.)",,1956-01,,Public libraries--North Carolina;,"Edgecombe County, North Carolina, United States",,(1954-1971) Civil Rights era,The outside of the Edgecombe County Public Library.  Notice the corner stone on the left side of the building.  The date 1954 was when they started building the library that we are currently in.  The shape and size of the building has changed many times over the years.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Edgecombe County Memorial Library,,Image,English,Photographs,3176.938 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Edmondson, Pam",,tts_EdgeCounMemo_5.tif,\Preservation_content\tts\images_master\,,2008-07,"Edmondson, Pam",,600 dpi,24,,,,,433608789,2008-09-25,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/136,,136,libraryhistory136,137.jp2,Volume13\tts_EdgeCounMemo_5.tif,/p249901coll36/image/137.jp2
Greensboro Public Library. Reading room in the library's first location,,,,1902,,Public libraries--North Carolina; Reading rooms,"Greensboro, Guilford County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"The library occupied three bright, cheery front rooms on the third floor of the City Hall, located in the downtown area, from 1902 to 1906. City offices and a city market were on the first floor and an 'Opera House' on the second floor. In 1906, the library moved to a Carnegie building",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5 inches,Greensboro Public Library,,Image,English,Photographs,2500.943 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Snow, Helen",,tts_GreePubl_1.tif,\Preservation_content\tts\images_master\,,2008-08,"Snow, Helen",,600 dpi,24,,,,,433608796,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/137,,137,libraryhistory137,138.jp2,Volume13\tts_GreePubl_1.tif,/p249901coll36/image/138.jp2
Book deposit station in the Post Office at Jamestown (Guilford County),,,,1915,,Public libraries--North Carolina; Women--North Carolina; Children--North Carolina,"Jamestown, Guilford County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"In 1915, the county commissioners appropriated funding for free service to county residents living outside the Greensboro city limits. In addition to opening library use to rural residents and offering telephone and mail service, the library placed stations in various places, including post offices, each with a bookshelf holding fifty books. The postmasters often served as librarians. Greensboro was the first public library south of Maryland to take books to rural residents.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,9.5 x 7.5 inches,Greensboro Public Library,,Image,English,Photographs,6810.496 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Snow, Helen",,tts_GreePubl_2.tif,\Preservation_content\tts\images_master\,,2008-08,"Snow, Helen",,600 dpi,24,,,,,433608948,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/138,,138,libraryhistory138,139.jp2,Volume13\tts_GreePubl_2.tif,/p249901coll36/image/139.jp2
Carnegie building with the Greensboro Public Library's first bookmobile parked in front,,,,1926,,Public libraries--North Carolina; Carnegie libraries; Bookmobiles--North Carolina; Women--North Carolina; Children--North Carolina,"Greensboro, Guilford County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"This Carnegie building, no longer in existence, housed the library from 1906 to 1939. The library was segregated, and a Carnegie building for the African-American population opened in 1924. Greensboro had the second bookmobile in the state (Durham became the first in 1923). In 1926, Greensboro's library obtained a Dodge truck, with a charging desk formed by letting down the back of the truck. The library won fame when the Saturday Evening Post ran an article about the use of the local dog tax to fund bookmobile service.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5  inches,Greensboro Public Library,,Image,English,Photographs,3225.514 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Snow, Helen",,tts_GreePubl_3.tif,\Preservation_content\tts\images_master\,,2008-08,"Snow, Helen",,600 dpi,24,,,,,433605740,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/139,,139,libraryhistory139,140.jp2,Volume13\1_tts_GreePubl_3.tif,/p249901coll36/image/140.jp2
Patients at Wesley Long Hospital reading books provided by the public library,,,,1927,,Public libraries--North Carolina; Children--North Carolina; Libraries and hospital patients,"Greensboro, Guilford County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"In 1927, the library began a collection of books at Wesley Long Hospital in Greensboro. This service later extended to other local hospitals.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5 inches,Greensboro Public Library,,Image,English,Photographs,2171.663 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Snow, Helen",,tts_GreePubl_4.tif,\Preservation_content\tts\images_master\,,2008-08,"Snow, Helen",,600 dpi,24,,,,,433608952,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/140,,140,libraryhistory140,141.jp2,Volume13\1_tts_GreePubl_4.tif,/p249901coll36/image/141.jp2
Greensboro Public Library. Music room,,,,1946,,Public libraries--North Carolina; Women--North Carolina,"Greensboro, Guilford County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"In 1946, Greensboro Public became the first NC library with a Music Room and Record-lending Department. The Music Room also included music scores, librettos, and a piano.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5 inches,Greensboro Public Library,,Image,English,Photographs,2288.614 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Snow, Helen",,tts_GreePubl_5.tif,\Preservation_content\tts\images_master\,,2008-08,"Snow, Helen",,600 dpi,24,,,,,433609302,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/141,,141,libraryhistory141,142.jp2,Volume13\1_tts_GreePubl_5.tif,/p249901coll36/image/142.jp2
Henderson County Carnegie Public Library interior with view of tables and shelving,,,,,,Public libraries--North Carolina; Library information desks; Carnegie libraries,"Hendersonville, Henderson County, North Carolina, United States",,,"Interior of the first Henderson County Public Library.  Library was personal gift of $10,000 from Andrew Carnegie because Hendersonville did not have the minimum population necessary for a Carnegie Foundation library. Andrew Carnegie agreed to erect a free public library building on condition that the town furnish a lot that was donated by Captain Marion Columbus Toms on the corner of King Street and Forth Avenue. The 3000 square foot facility was built in 1913 and opened in September 1914. Mrs. Norma Sandifer was hired to be the first librarian at $25 a week and the library opened with 600 books.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Henderson County Public Library,,Image,English,Photographs,557.96 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_HendCoun_01.tif,\Preservation_content\tts\images_master\,,2008-08,,,600 dpi,24,,,,,433609310,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/142,,142,libraryhistory142,143.jp2,Volume13\1_tts_HendCoun_01.tif,/p249901coll36/image/143.jp2
Henderson County Free Service Library bookmobile at the United States Post Office in Mountain Home,,,,1943,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina;,"Mountain Home, Henderson County, North Carolina, United States",,(1929-1945) Depression and World War Two,"Free Service Library bookmobile parked in front of Mountain Home, NC Post Office in 1943. Helen Louise Dunlap Renfro was Postmistress of the Mountain Home Post Office from November 1941-1953.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Henderson County Public Library,,Image,English,Photographs,863.584 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_HendCoun_02.tif,\Preservation_content\tts\images_master\,,2008-08,,,600 dpi,24,,,,,433608964,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/143,,143,libraryhistory143,144.jp2,Volume13\1_tts_HendCoun_02.tif,/p249901coll36/image/144.jp2
Henderson County Public Library exterior from the front right,,,,,,Public libraries--North Carolina; Carnegie libraries,"Hendersonville, Henderson County, North Carolina, United States",,,"First Henderson County Public Library. Donated by Andrew Carnegie and property donated by Captain Marion Columbus Toms. The building stands on corner of Fourth Avenue and King Street in downtown Hendersonville, North Carolina.  The library was built in 1913 and opened in September of 1914. This building served as first public library in Henderson County until July 1970.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Henderson County Public Library,,Image,English,Photographs,2405.41 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_HendCoun_03.tif,\Preservation_content\tts\images_master\,,2008-08,,,600 dpi,24,,,,,433608969,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/144,,144,libraryhistory144,145.jp2,Volume13\1_tts_HendCoun_03.tif,/p249901coll36/image/145.jp2
"Henderson County Public Library interior showing card catalogs, shelving and several patrons.",,,,1960,,Public libraries--North Carolina; African Americans--North Carolina; Children--North Carolina; Library information desks; Minorities--North Carolina,"Hendersonville, Henderson County, North Carolina, United States",,(1954-1971) Civil Rights era,Interior of Henderson County Public Library located on the corner of King Street and Forth Avenue.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Henderson County Public Library,,Image,English,Photographs,927.084 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_HendCoun_04.tif,\Preservation_content\tts\images_master\,,2008-08,,,600 dpi,24,,,,,433609323,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/145,,145,libraryhistory145,146.jp2,,/p249901coll36/image/146.jp2
H. Leslie Perry Memorial Library original building (exterior),,,,1924,,Public libraries--North Carolina;,"Henderson, Vance County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"Funds to build the memorial library were donated by Col. And Mrs. Henry Perry and the widow of their son, local attorney, H. Leslie Perry, who had recently died after a lengthy illness.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,6 x 10 inches,H. Leslie Perry Memorial Library,,Image,English,Photographs,7863.141 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"VanSistine-Yost, Linda",,tts_HLeslPerr_001.tif,\Preservation_content\tts\images_master\,,2008-08,"VanSistine-Yost, Linda",,96 dpi,24,,,,,433608974,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/146,,146,libraryhistory146,147.jp2,Volume14\tts_HLeslPerr_1.tif,/p249901coll36/image/147.jp2
H. Leslie Perry Memorial Library (interior),,,,1924,,Public libraries--North Carolina; Library information desks,"Henderson, Vance County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,Original building of the H. Leslie Perry Memorial Library. Many of the furnishings and books were purchased with donations from private citizens as well as local school and civil clubs and organizations.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,H. Leslie Perry Memorial Library,,Image,English,Photographs,4423.946 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"VanSistine-Yost, Linda",,tts_HLeslPerr_002.tif,\Preservation_content\tts\images_master\,,2008-08,"VanSistine-Yost, Linda",,96 dpi,24,,,,,433608975,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/147,,147,libraryhistory147,148.jp2,Volume14\tts_HLeslPerr_2.tif,/p249901coll36/image/148.jp2
"H. Leslie Perry Memorial Library, Dunbar Branch (interior)",,,,1926,,Public libraries--North Carolina; African Americans and libraries; Minorities--North Carolina,"Henderson, Vance County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"A library for African Americans, named for poet Paul Laurence Dunbar, was open in the Negro Graded School in 1926. The school burned in 1946. The Dunbar branch was reopened in a new location two years later.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,2.5 x 3.5 inches,H. Leslie Perry Memorial Library,,Image,English,Photographs,4109.759 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"VanSistine-Yost, Linda",,tts_HLeslPerr_003.tif,\Preservation_content\tts\images_master\,,2008-08,"VanSistine-Yost, Linda",,96 dpi,24,,,,,433605761,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/148,,148,libraryhistory148,149.jp2,,/p249901coll36/image/149.jp2
Presentation of new Vance County bookmobile to library board chair J. W. Jenkins by Dorothy Ellis,,"Turner, W. R., Jr.",,1953,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina,"Henderson, Vance County, North Carolina, United States",,(1945-1989) Post War/Cold War period,Securing a bookmobile to serve Vance County's rural communities became the Henderson Junior Woman's Club project in 1952.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7 x 5 inches,H. Leslie Perry Memorial Library,,Image,English,Photographs,11597.548 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"VanSistine-Yost, Linda",,tts_HLeslPerr_004.tif,\Preservation_content\tts\images_master\,,2008-08,"VanSistine-Yost, Linda",,96 dpi,24,,,,,433608978,2008-09-25,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/149,,149,libraryhistory149,150.jp2,Volume14\tts_HLeslPerr_4.tif,/p249901coll36/image/150.jp2
Library director and two patrons outside Vance County bookmobile in Kittrell,,"Turner, W. R., Jr.",,1953,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina,"Kittrell, Vance County, North Carolina, United States",,(1945-1989) Post War/Cold War period,"Library Director, Nannie Crowder, stands outside the Vance County bookmobile with two female patrons at a stop in Kittrell, NC.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4.5 inches,H. Leslie Perry Memorial Library,,Image,English,Photographs,4152.48 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"VanSistine-Yost, Linda",,tts_HLeslPerr_005.tif,\Preservation_content\tts\images_master\,,2008-08,"VanSistine-Yost, Linda",,96 dpi,24,,,,,433605765,2008-09-25,2013-05-08,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/150,,150,libraryhistory150,151.jp2,Volume14\tts_HLeslPerr_5.tif,/p249901coll36/image/151.jp2
Johnston County bookmobile with two men and women conversing,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina;,"Johnston County, North Carolina, United States",,,"Bookmobile reads: ""Johnston County  Library Service  Free to All  Information Education Recreation""",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,Public Library of Johnston County and Smithfield,,Image,English,Photographs,629.925 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Allen, Christy",,tts_JohnCounSmit_001.jpg,\Preservation_content\tts\images_master\,,2008-08,"Lassiter, Wingate",,200 dpi,24,,,,,433608981,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/151,,151,libraryhistory151,152.jp2,Volume14\tts_JohnCounSmit_001.jpg,/p249901coll36/image/152.jp2
Women posing in front of Johnston County Public Library bookmobiles,,,,,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina;,"Johnston County, North Carolina, United States",,,Four women pose in front of a Johnston County Public Library bookmobile. Another bookmobile is seen in the background,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,,Public Library of Johnston County and Smithfield,,Image,English,Photographs,283.662 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Allen, Christy",,tts_JohnCounSmit_002.jpg,\Preservation_content\tts\images_master\,,2008-08,"Lassiter, Wingate",,200 dpi,24,,,,,433608984,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/152,,152,libraryhistory152,153.jp2,Volume14\tts_JohnCounSmit_002.jpg,/p249901coll36/image/153.jp2
Goldsboro Public Library (interior),,,,1930,,Public libraries--North Carolina; Reading rooms,"Goldsboro, Wayne County, North Carolina, United States",,(1929-1945) Depression and World War Two,"On March 8, 1930 the Goldsboro Public Library was moved from the City Hall to the Solomon Weil House.  The house was a donation from the Weil family and was occupied by the library until 1976.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Wayne County Public Library,,Image,English,Photographs,1263.964 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Wilson, Maegen",,tts_WAYNECOUN_1.tif,\Preservation_content\tts\images_master\,,2008-09,"Wilson, Maegen",,600 dpi,24,,,,,433605766,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/153,,153,libraryhistory153,154.jp2,Volume14\tts_WAYNECOUN_1.jpg,/p249901coll36/image/154.jp2
Goldsboro Public Library. Reading room,,,,1930,,Public libraries--North Carolina; Reading rooms; Library information desks,"Goldsboro, Wayne County, North Carolina, United States",,(1929-1945) Depression and World War Two,"The Solomon Weil House gave the library anough space to house two reading rooms, a periodical room, meeting room, stack room, and children's room.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Wayne County Public Library,,Image,English,Photographs,4234.424 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Wilson, Maegen",,tts_WAYNECOUN_2.tif,\Preservation_content\tts\images_master\,,2008-09,"Wilson, Maegen",,600 dpi,24,,,,,433594262,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/154,,154,libraryhistory154,155.jp2,Volume14\tts_WAYNECOUN_2.jpg,/p249901coll36/image/155.jp2
WPA bookmobile at the Mount Olive school,,,,1940-01,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina; United States. Works Progress Administration; Schools--North Carolina,"Mount Olive, Wayne County, North Carolina, United States",,(1929-1945) Depression and World War Two,The Wayne County Public Library participated in a Works project Administration program that allowed people outside of Goldsboro to use books.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Wayne County Public Library,,Image,English,Photographs,4626.915 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Wilson, Maegen",,tts_WAYNECOUN_3.tif,\Preservation_content\tts\images_master\,,2008-09,"Wilson, Maegen",,600 dpi,24,,,,,433594265,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/155,,155,libraryhistory155,156.jp2,Volume14\tts_WAYNECOUN_3.jpg,/p249901coll36/image/156.jp2
Wayne County's first librarian,,,,1941,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina;,"Wayne County, North Carolina, United States",,(1929-1945) Depression and World War Two,Susan Borden was the first county librarian when the library began serving all of Wayne County in 1941.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Wayne County Public Library,,Image,English,Photographs,5323.023 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/jpeg,,,,All,State Library of North Carolina,"Wilson, Maegen",,tts_WAYNECOUN_4.tif,\Preservation_content\tts\images_master\,,2008-09,"Wilson, Maegen",,600 dpi,24,,,,,433594269,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/156,,156,libraryhistory156,157.jp2,Volume14\tts_WAYNECOUN_4.jpg,/p249901coll36/image/157.jp2
"Wilmington Public Library, established in 1906, was located on the second floor of City Hall/Thalian Hall until 1956",,,,1910,,Public libraries--North Carolina;,"Wilmington, New Hanover County, North Carolina, United States",,(1900-1929) North Carolina's industrial revolution and World War One,"The Wilmington Public Library opened in 1906 on the second floor of City HallThalian Hall. The building, constructed in 1858, had formerly housed the  Wilmington Library Association (1858-1893). Wilmington's earliest library dates back to 1755. Read more about it and view a video history at: http:www.nhcgov.comAgnAndDptLIBRLocalHistoryPagesdefault.aspx",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,New Hanover County Public Library,,Image,English,Photographs,1392.008 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Tetterton, Beverly",,tts_NewHaCoun_1.tif,\Preservation_content\tts\images_master\,,2008-08,"Tetterton, Beverly",,260 dpi,24,,,,,433605507,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/157,,157,libraryhistory157,158.jp2,Volume14\tts_NewHaCoun_1.tif,/p249901coll36/image/158.jp2
"David Brinkley (1920-1923), nationally known broadcast journalist, was an avid reader",,,,,,Public libraries--North Carolina; Children--North Carolina,"New Hanover County, North Carolina, United States",,,"David Brinkley reminisced, ""If there is anything worth knowing about me, it is that at the age of 10 or 12 I became a semi-permanent fixture at the Wilmington Public Library. I would go every day after school and stay till it closed. My friends kidded me a lot about it, saying I would read every book in the library. That's really where I learned what little I know."" Read more about it and view a video at http:www.nhcgov.comAgnAndDptLIBRLocalHistoryPagesdefault.aspx",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,5 x 7 inches,New Hanover County Public Library,,Image,English,Photographs,420.604 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Tetterton, Beverly",,tts_NewHaCoun_2.tif,\Preservation_content\tts\images_master\,,2008-08,"Tetterton, Beverly",,260 dpi,24,,,,,433608273,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/158,,158,libraryhistory158,159.jp2,Volume14\tts_NewHaCoun_2.tif,/p249901coll36/image/159.jp2
"Wilmington Colored Library, established in 1926",,,,,,Public libraries--North Carolina; African Americans and libraries; African Americans--North Carolina; Children--North Carolina; Minorities--North Carolina,"Wilmington, New Hanover County, North Carolina, United States",,,"In 1926, a group of African-American Wilmingtonians asked if they could use the Wilmington Public Library. They were denied and within a few months they raised enough money to start their own library at Giblem Masonic Hall. The public libraries were segregated until the 1960s. The first library cards were offered to African-Americans in 1960 and the two library budgets combined in 1963. Read more about it and view a video at:  http:www.nhcgov.comAgnAndDptLIBRLocalHistoryPagesdefault.aspx",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,New Hanover County Public Library,,Image,English,Photographs,4017.647 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Tetterton, Beverly",,tts_NewHaCoun_3.tif,\Preservation_content\tts\images_master\,,2008-08,"Tetterton, Beverly",,260 dpi,24,,,,,433594280,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/159,,159,libraryhistory159,160.jp2,,/p249901coll36/image/160.jp2
