title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"God - As a Living Spirit -Can Bring to You Perfect Abundance!","Illustration of a man carrying a basket full of harvested vegetables. A paragraph of text follows the illustration stating that God is not dead, never has been, and that the reader will realize, &#39;sooner or later,&#39; what the &#39;God-Law&#39; can do for him or her.","","","1939","yes","39.770372","-89.639463","single-page; flyers","Material Abundance; Success; Health; Happiness; Spiritual Power; God-Law; Illustrations; Stephen Bern Dahlman","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 3","MG101_b7_f3_005","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","829","demo_psychiana829","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/829","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/829.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana829.html"
"Good News","Radio program corresponding with transcript of Radio Psychiana - Series for Dr. Frank B. Robinson No. 3. Episode begins proclaiming the growth of Pyschiana and then takes listeners to Robinson&#39;s home in Moscow, Idaho, describing its appearance. A dialogue begins between a &#39;guide&#39; and Robinson about miracles, healing, the God-Law, the mail Robinson receives, and the &#39;Life Impulse&#39; or &#39;motivating spirit&#39; that allows people to think and live with God.","The Izzard Company","","1947","yes","39.770372","-89.639463","radio program","God-Law; Life Spirit; Mircales; Healing; Sudent Letters; Testimonials","Good News","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Tapes","Good_News_09","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Sound","audio/mp3","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","54","demo_psychiana54","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/54","https://digital.lib.uidaho.edu/utils/getstream/collection/psychiana/id/54","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana54.html"
"Good News - Man&#39;s Quest","Radio program episode discusses man&#39;s quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the &#39;cosmic ray&#39; by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.","","","1947","yes","","","radio program","God-Power; Cosmic Rays; Science and Technology; Student Letters; Hardship; Material Abundance; Testimonials","Good News","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Tapes","Good_News_05","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Sound","audio/mp3","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","55","demo_psychiana55","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/55","https://digital.lib.uidaho.edu/utils/getstream/collection/psychiana/id/55","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana55.html"
"Good News - Purpose of the Program","Radio program episode outlines the purpose of the &#39;Good News&#39; radio program, to broadcast positive and peaceful things rather than negative. Episode includes organ music and songs sung by Al Marino, jokes made in the face of war, and urges listeners to buy quality-made products for better piece of mind.","","","1947","yes","","","radio program","Peace; Good News; Quality Products; World War; Organ","Good News","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Tapes","Good_News_04","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Sound","audio/mp3","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","52","demo_psychiana52","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/52","https://digital.lib.uidaho.edu/utils/getstream/collection/psychiana/id/52","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana52.html"
"Hang This Where You Can See It, Better Still - Frame It","Flyer depicts a drawing of a large tree labeled &#39;The God-Realm&#39; and the word &#39;You&#39; beneath one of the branches. A caption reads &#39;The Unity and Peace of Power&#39; and also explains that we all live linked to the great life of God and there is nothing more simple than that.","Psychiana, Inc.","","1938","yes","36.29246","-86.622565","single-page; flyers","","God-Realm; God-Power; Advertising","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27","MG101_b4_f27_017","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","376","demo_psychiana376","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/376","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/376.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana376.html"
"Here Is Your Lesson No. 3 - Man Can Now Talk With God","Package includes introductory letter entitled &#39;Here is Your Lesson Number Three - To All Students.&#39; Letter includes testimonial from a student whose sister&#39;s illness was healed. Tenney asserts this healing is proof there is no limit to the God-Power. Lesson 3 discusses the God-Law via various examples in nature (i.e. goldfish living with water all around them).","Tenney, C.W.","","1938","yes","39.805157","-105.036494","multiple-page; lessons","","God-Law; God-Law Examples; Testimonials; Healing;","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27","MG101_b4_f27_005","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","316","demo_psychiana316","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/316","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/316.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana316.html"
"Here&#39;s Your Answer!","Pocket-sized booklet includes several common questions about religion along with various answers in the form of or including quotes from the Christian Bible.","Brooks, Keith L.","","1940","yes","","","","Bible; Questioning Religion","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 1, Folder 7","MG101_b1_f07_002","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","171","demo_psychiana171","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/171","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/171.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana171.html"
"I Talked With God","Clipping of an article in which Robinson discusses how he talks directly God and how God comes to us. Numbered advertisement 3543-46.","Robinson, Frank B.","","1946","","47.65557","-117.419063","single-page; clippings","Atom Bomb; God-Power; Talk with God","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26","MG101_b7_f26_114","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","359","demo_psychiana359","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/359","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/359.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana359.html"
"I Talked With God Advertisement","Photograph of Psychiana Advertisement pinned to a board, reads &#39;I TALKED WITH GOD...&#39;","","","1935","yes","47.65557","-117.419063","single-page; photographs","Advertising","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Frank B. Robinson Negatives&#39;","MG101_B6_Frank_Robinson_Negatives_009","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Image;StillImage","image/jpg","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","681","demo_psychiana681","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/681","https://digital.lib.uidaho.edu/digital/iiif/psychiana/681/full/max/0/default.jpg","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana681.html"
"I Talked With God advertisement clipping","Advertisement printed in newspapers claiming Frank B. Robinson talked with God and can offer followers the God-Power if they inquire via mail to Psychiana headquarters in Moscow, Idaho.","","","1940","yes","39.770372","-89.639463","single-page; clippings","Advertising; God-Power; Moscow, Idaho","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Clippings About Robinson&#39;","MG101_b6_clip029","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","669","demo_psychiana669","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/669","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/669.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana669.html"
"I Want You to Find the Almighty Power of God and You Can Right Here on Earth","Flyer includes illustration of Robinson as iconic &#39;Uncle Sam&#39; with electric bolts around title. Copy states Robinson wants &#39;you&#39; to discover a Power that brings prosperity.","Psychiana, Inc.","","1944","yes","","","single-page; flyers","God-Power; Electricity; Uncle Sam; Success","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 26","MG101_b7_f26_015","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","322","demo_psychiana322","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/322","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/322.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana322.html"
"Is the Story of Jesus Christ Fact or Fiction? [01]","Advertisement for Robinson&#39;s book &#39;Is the Story of Jesus Christ Fact or Fiction?&#39; Includes order form.","","","1935","yes","","","single-page; order forms","Jesus Christ; Costs; Robinson&#39;s Books","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 27","MG101_b7_f27_013","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","371","demo_psychiana371","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/371","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/371.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana371.html"
"It Takes a Lot of Employees for the Psychiana Religion","Document includes photos without names or identification of many members of the Psychiana staff, following brief description of the religion. Letter also ends with an endorsement of Robinson, Psychiana, and Psychiana advertising by James W. Brown, Sr.","Brown, James W., Sr.","","1942-10-26","","","","multiple-page; advertisements","","Advertising; Psychiana Staff; Endorsements","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 4, Folder 27","MG101_b4_f27_003","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","294","demo_psychiana294","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/294","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/294.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana294.html"
"It Took the Manifestation of Adolf Hitler","Flyer that claims the appearance of Hitler and Nazi Germany will lead to the revelation of Psychiana to all peoples of the world.","","","1942","yes","","","single-page; flyers","Hitler; Spirit of God; Prayer; Speak Into Existence; Psychiana Affirmations","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 31","MG101_b7_f31_026","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","433","demo_psychiana433","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/433","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/433.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana433.html"
"Label of a photograph mailed from Frank B. Robinson to his son, Albert B. Robinson","Photograph of a brown paper label torn from a package used to mail a photograph from Frank B. Robinson to Alfred B. Robinson, including addresses and postage.","","","1948-01-20","","","","single-page; photographs","Mailings; Alfred B. Robinson","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Photographs&#39;","MG101_b6_photographs_26","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Image;StillImage","image/jpg","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","538","demo_psychiana538","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/538","https://digital.lib.uidaho.edu/digital/iiif/psychiana/538/full/max/0/default.jpg","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana538.html"
"Letterheads Used by Frank B. Robinson","Pages 1-2 official envelopes used to mail Psychiana correspondence including return address on front and the words &#39;Quiet Talks With God&#39; on the back; Page 3-7 various official letterheads used by Frank B. Robinson for personal correspondence on behalf of Psychiana","","","1952","yes","","","multiple-page; envelopes; letterheads","Mailings; Letterheads","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Letterheads&#39;","MG101_b6_Letterheads","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","687","demo_psychiana687","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/687","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/687.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana687.html"
"Marilyn Allen&#39;s Challenge","Advertisement depicts a man in a suit holding bags of money and a challenge to those that that think God and Right can bring Hitler to his knees. Also includes a letter about Psychiana&#39;s need for money in a campaign called &#39;&#39;Blitzkrieg&#39; for God.&#39; Includes a &#39;Blitzkrieg Campaign&#39; button pin with an illustration of Hitler.","Allen, Marilyn R.","","1942","yes","","","multiple-page; advertisements","Donations; Blitzkrieg; Hitler; Success; World War; Illustrations","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 31","MG101_b7_f31_023","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","450","demo_psychiana450","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/450","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/450.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana450.html"
"Negative photograph of a Psychiana pin","Negative photograph of a pin worn by members of Psychiana. Pin includes a small hand holding a lit torch with the capital letter &#39;P&#39; prominently in front.","Robinson, Frank B.","","1936","yes","","","single-page; buttons (information artifacts)","Psychiana Pin","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Miscellaneous Negatives&#39;","MG101_b6_f7_Miscellanious_Negatives_014","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Image;StillImage","image/jpg","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","523","demo_psychiana523","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/523","https://digital.lib.uidaho.edu/digital/iiif/psychiana/523/full/max/0/default.jpg","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana523.html"
"Negative photograph of Frank B. Robinson&#39;s books Ye Men of Athens and The Wanderer","Negative photograph of the covers of Frank B. Robinson&#39;s books Ye Men of Athens, which depicts an Ancient Greek building, statue, and column, and The Wanderer, which includes text only. Both published by Psychiana, Inc.","Robinson, Frank B.","","1947","yes","","","single-page; negatives","Robinson&#39;s Books","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Miscellaneous Negatives&#39;","MG101_b6_f7_Miscellanious_Negatives_010","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Image;StillImage","image/jpg","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","722","demo_psychiana722","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/722","https://digital.lib.uidaho.edu/digital/iiif/psychiana/722/full/max/0/default.jpg","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana722.html"
"Negative photograph of several copies of the June 1948 edition of the &#39;The Way: A Quarterly Publication of the Psychiana Religion.&#39;","Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.","Robinson, Frank B.","","1948","yes","","","single-page; negatives","Robinson&#39;s Writings; Psychiana Journal","The Way Magazine","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Miscellaneous Negatives&#39;","MG101_b6_f7_Miscellanious_Negatives_012","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Image;StillImage","image/jpg","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","725","demo_psychiana725","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/725","https://digital.lib.uidaho.edu/digital/iiif/psychiana/725/full/max/0/default.jpg","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana725.html"
"Notes from Robinson to Staff","Letters and notes that include instructions for how to manage Psychiana employees, referred to as &#39;girls,&#39; while Robinson is away. Includes insults, disciplinary action, sending staff home, and specific instruction about Psychiana mail.","Robinson, Frank B.","","1940","yes","","","multiple-page; notes","Psychiana Staff; Psychiana Headquarters; Mailings; Pearl Bey Robinson","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 3, Folder 1","MG101_b3_f1_003","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","209","demo_psychiana209","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/209","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/209.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana209.html"
"Now --- It&#39;s War!","A flyer discussing the Japanese attack on Pearl Harbor in 1941.","Robinson, Frank B.","","1941-12-07","","40.713569","-74.023587","single-page; flyers","Moscow, Idaho; World War;","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 13","MG101_b7_f13_034","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","1035","demo_psychiana1035","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/1035","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/1035.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana1035.html"
"Order Blank","Order form blank for Psychiana written materials with retail, cost, and profit columns.","","Sales Agents","1936","yes","40.713569","-74.023587","single-page; order forms","Order Blank; Prices; Psychiana Publications","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_041","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","247","demo_psychiana247","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/247","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/247.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana247.html"
